run,instrument,round,w1,running_mu_through_prev,running_sigma_through_prev,threshold_mu_plus_2sigma,fired
run0_primary,PHQ-9,1,0.0,,,,False
run0_primary,PHQ-9,2,0.0311,0.0,,,False
run0_primary,PHQ-9,3,0.0199,0.0156,0.0156,0.0467,False
run0_primary,PHQ-9,4,0.0146,0.017,0.0129,0.0427,False
run0_primary,PHQ-9,5,0.0115,0.0164,0.0112,0.0388,False
run0_primary,PHQ-9,6,0.0095,0.0154,0.0102,0.0358,False
run0_primary,PHQ-9,7,0.0081,0.0144,0.0096,0.0336,False
run0_primary,PHQ-9,8,0.0071,0.0135,0.0091,0.0318,False
run0_primary,PHQ-9,9,0.0063,0.0127,0.0088,0.0303,False
run0_primary,PHQ-9,10,0.0056,0.012,0.0085,0.0291,False
run0_primary,PHQ-9,11,0.0325,0.0114,0.0083,0.028,True
run0_primary,PHQ-9,12,0.0409,0.0133,0.01,0.0333,True
run0_primary,PHQ-9,13,0.0078,0.0156,0.0122,0.0401,False
run0_primary,PHQ-9,14,0.0073,0.015,0.0119,0.0389,False
run0_primary,PHQ-9,15,0.0068,0.0145,0.0117,0.0378,False
run0_primary,PHQ-9,16,0.0063,0.0139,0.0114,0.0368,False
run0_primary,PHQ-9,17,0.0585,0.0135,0.0112,0.0359,True
run0_primary,PHQ-9,18,0.0556,0.0161,0.0152,0.0465,True
run0_primary,PHQ-9,19,0.053,0.0183,0.0173,0.053,True
run0_primary,GAD-7,1,0.0,,,,False
run0_primary,GAD-7,2,0.0879,0.0,,,False
run0_primary,GAD-7,3,0.0686,0.0439,0.0439,0.1318,False
run0_primary,GAD-7,4,0.0583,0.0522,0.0377,0.1276,False
run0_primary,GAD-7,5,0.0783,0.0537,0.0328,0.1192,False
run0_primary,GAD-7,6,0.0738,0.0586,0.0309,0.1205,False
run0_primary,GAD-7,7,0.0651,0.0612,0.0288,0.1187,False
run0_primary,GAD-7,8,0.0351,0.0617,0.0267,0.1151,False
run0_primary,GAD-7,9,0.0302,0.0584,0.0265,0.1113,False
run0_primary,GAD-7,10,0.0119,0.0553,0.0265,0.1082,False
run0_primary,GAD-7,11,0.0577,0.0509,0.0283,0.1075,False
run0_primary,GAD-7,12,0.0275,0.0515,0.027,0.1056,False
run0_primary,GAD-7,13,0.0695,0.0495,0.0267,0.103,False
run0_primary,GAD-7,14,0.2629,0.0511,0.0262,0.1035,True
run0_primary,GAD-7,15,0.0385,0.0662,0.0601,0.1865,False
run0_primary,GAD-7,16,0.0628,0.0644,0.0585,0.1814,False
run0_primary,GAD-7,17,0.1153,0.0643,0.0566,0.1775,False
run0_primary,GAD-7,18,0.086,0.0673,0.0562,0.1798,False
run0_primary,GAD-7,19,0.0943,0.0683,0.0548,0.178,False
run0_primary,CompACT-10,1,0.0,,,,False
run0_primary,CompACT-10,2,0.0477,0.0,,,False
run0_primary,CompACT-10,3,0.056,0.0239,0.0239,0.0716,False
run0_primary,CompACT-10,4,0.0103,0.0346,0.0247,0.0839,False
run0_primary,CompACT-10,5,0.0184,0.0285,0.0238,0.0761,False
run0_primary,CompACT-10,6,0.0234,0.0265,0.0217,0.0698,False
run0_primary,CompACT-10,7,0.0083,0.026,0.0198,0.0656,False
run0_primary,CompACT-10,8,0.0196,0.0234,0.0194,0.0622,False
run0_primary,CompACT-10,9,0.0121,0.023,0.0182,0.0593,False
run0_primary,CompACT-10,10,0.0083,0.0218,0.0175,0.0567,False
run0_primary,CompACT-10,11,0.05,0.0204,0.017,0.0545,False
run0_primary,CompACT-10,12,0.0275,0.0231,0.0183,0.0598,False
run0_primary,CompACT-10,13,0.0421,0.0235,0.0176,0.0587,False
run0_primary,CompACT-10,14,0.0174,0.0249,0.0176,0.0601,False
run0_primary,CompACT-10,15,0.0406,0.0244,0.0171,0.0585,False
run0_primary,CompACT-10,16,0.0385,0.0254,0.017,0.0594,False
run0_primary,CompACT-10,17,0.014,0.0263,0.0168,0.0598,False
run0_primary,CompACT-10,18,0.0142,0.0255,0.0165,0.0586,False
run0_primary,CompACT-10,19,0.0251,0.0249,0.0163,0.0574,False
run1_comparison,PHQ-9,1,0.0,,,,False
run1_comparison,PHQ-9,2,0.0308,0.0,,,False
run1_comparison,PHQ-9,3,0.0056,0.0154,0.0154,0.0462,False
run1_comparison,PHQ-9,4,0.0226,0.0121,0.0134,0.0389,False
run1_comparison,PHQ-9,5,0.0179,0.0147,0.0125,0.0396,False
run1_comparison,PHQ-9,6,0.0148,0.0154,0.0112,0.0378,False
run1_comparison,PHQ-9,7,0.0126,0.0153,0.0102,0.0357,False
run1_comparison,PHQ-9,8,0.011,0.0149,0.0095,0.0339,False
run1_comparison,PHQ-9,9,0.0097,0.0144,0.009,0.0324,False
run1_comparison,PHQ-9,10,0.0087,0.0139,0.0086,0.0311,False
run1_comparison,PHQ-9,11,0.0079,0.0134,0.0083,0.03,False
run1_comparison,PHQ-9,12,0.0072,0.0129,0.0081,0.029,False
run1_comparison,PHQ-9,13,0.0067,0.0124,0.0079,0.0282,False
run1_comparison,PHQ-9,14,0.0062,0.012,0.0077,0.0274,False
run1_comparison,PHQ-9,15,0.0058,0.0115,0.0076,0.0267,False
run1_comparison,PHQ-9,16,0.0054,0.0112,0.0075,0.0261,False
run1_comparison,PHQ-9,17,0.0586,0.0108,0.0074,0.0255,True
run1_comparison,PHQ-9,18,0.0557,0.0136,0.0133,0.0403,True
run1_comparison,PHQ-9,19,0.1758,0.0159,0.0162,0.0483,True
run1_comparison,GAD-7,1,0.0,,,,False
run1_comparison,GAD-7,2,0.0879,0.0,,,False
run1_comparison,GAD-7,3,0.0686,0.0439,0.0439,0.1318,False
run1_comparison,GAD-7,4,0.0583,0.0522,0.0377,0.1276,False
run1_comparison,GAD-7,5,0.0783,0.0537,0.0328,0.1192,False
run1_comparison,GAD-7,6,0.0848,0.0586,0.0309,0.1205,False
run1_comparison,GAD-7,7,0.0883,0.063,0.0299,0.1227,False
run1_comparison,GAD-7,8,0.0594,0.0666,0.029,0.1247,False
run1_comparison,GAD-7,9,0.0854,0.0657,0.0273,0.1202,False
run1_comparison,GAD-7,10,0.0383,0.0679,0.0264,0.1208,False
run1_comparison,GAD-7,11,0.0514,0.0649,0.0266,0.1182,False
run1_comparison,GAD-7,12,0.0305,0.0637,0.0257,0.115,False
run1_comparison,GAD-7,13,0.2478,0.0609,0.0262,0.1134,True
run1_comparison,GAD-7,14,0.042,0.0753,0.0558,0.1869,False
run1_comparison,GAD-7,15,0.0885,0.0729,0.0545,0.1819,False
run1_comparison,GAD-7,16,0.0327,0.074,0.0528,0.1795,False
run1_comparison,GAD-7,17,0.1232,0.0714,0.052,0.1755,False
run1_comparison,GAD-7,18,0.1024,0.0744,0.0519,0.1783,False
run1_comparison,GAD-7,19,0.1401,0.076,0.0509,0.1778,False
run1_comparison,CompACT-10,1,0.0,,,,False
run1_comparison,CompACT-10,2,0.05,0.0,,,False
run1_comparison,CompACT-10,3,0.0524,0.025,0.025,0.075,False
run1_comparison,CompACT-10,4,0.0112,0.0341,0.0242,0.0824,False
run1_comparison,CompACT-10,5,0.0195,0.0284,0.0232,0.0747,False
run1_comparison,CompACT-10,6,0.0075,0.0266,0.021,0.0686,False
run1_comparison,CompACT-10,7,0.017,0.0234,0.0205,0.0644,False
run1_comparison,CompACT-10,8,0.0136,0.0225,0.0191,0.0607,False
run1_comparison,CompACT-10,9,0.0085,0.0214,0.0181,0.0576,False
run1_comparison,CompACT-10,10,0.0076,0.02,0.0175,0.055,False
run1_comparison,CompACT-10,11,0.0116,0.0187,0.017,0.0528,False
run1_comparison,CompACT-10,12,0.0177,0.0181,0.0164,0.0508,False
run1_comparison,CompACT-10,13,0.0114,0.018,0.0157,0.0494,False
run1_comparison,CompACT-10,14,0.0081,0.0175,0.0152,0.0479,False
run1_comparison,CompACT-10,15,0.0105,0.0169,0.0148,0.0465,False
run1_comparison,CompACT-10,16,0.031,0.0164,0.0144,0.0452,False
run1_comparison,CompACT-10,17,0.0176,0.0173,0.0144,0.0461,False
run1_comparison,CompACT-10,18,0.0119,0.0174,0.014,0.0453,False
run1_comparison,CompACT-10,19,0.0263,0.0171,0.0136,0.0443,False
run2_lightweight,PHQ-9,1,0.0,,,,False
run2_lightweight,PHQ-9,2,0.0097,0.0,,,False
run2_lightweight,PHQ-9,3,0.0472,0.0049,0.0049,0.0146,False
run2_lightweight,PHQ-9,4,0.0344,0.019,0.0203,0.0597,False
run2_lightweight,PHQ-9,5,0.0396,0.0228,0.0188,0.0605,False
run2_lightweight,PHQ-9,6,0.038,0.0262,0.0181,0.0625,False
run2_lightweight,PHQ-9,7,0.0327,0.0282,0.0171,0.0625,False
run2_lightweight,PHQ-9,8,0.0352,0.0288,0.016,0.0607,False
run2_lightweight,PHQ-9,9,0.0446,0.0296,0.0151,0.0598,False
run2_lightweight,PHQ-9,10,0.0289,0.0313,0.015,0.0612,False
run2_lightweight,PHQ-9,11,0.0448,0.031,0.0142,0.0595,False
run2_lightweight,PHQ-9,12,0.0663,0.0323,0.0141,0.0605,True
run2_lightweight,PHQ-9,13,0.112,0.0351,0.0165,0.0681,True
run2_lightweight,PHQ-9,14,0.0392,0.041,0.0259,0.0928,False
run2_lightweight,PHQ-9,15,0.0311,0.0409,0.0249,0.0908,False
run2_lightweight,PHQ-9,16,0.0924,0.0403,0.0242,0.0887,True
run2_lightweight,PHQ-9,17,0.0699,0.0435,0.0266,0.0968,False
run2_lightweight,PHQ-9,18,0.0806,0.0451,0.0266,0.0982,False
run2_lightweight,PHQ-9,19,0.0786,0.047,0.0271,0.1012,False
run2_lightweight,GAD-7,1,0.0,,,,False
run2_lightweight,GAD-7,2,0.0162,0.0,,,False
run2_lightweight,GAD-7,3,0.0145,0.0081,0.0081,0.0243,False
run2_lightweight,GAD-7,4,0.0311,0.0102,0.0073,0.0248,True
run2_lightweight,GAD-7,5,0.0289,0.0154,0.011,0.0374,False
run2_lightweight,GAD-7,6,0.0259,0.0181,0.0112,0.0406,False
run2_lightweight,GAD-7,7,0.0123,0.0194,0.0106,0.0407,False
run2_lightweight,GAD-7,8,0.019,0.0184,0.0102,0.0388,False
run2_lightweight,GAD-7,9,0.0226,0.0185,0.0095,0.0375,False
run2_lightweight,GAD-7,10,0.0244,0.019,0.0091,0.0371,False
run2_lightweight,GAD-7,11,0.0429,0.0195,0.0087,0.037,True
run2_lightweight,GAD-7,12,0.0266,0.0216,0.0107,0.043,False
run2_lightweight,GAD-7,13,0.0796,0.022,0.0103,0.0427,True
run2_lightweight,GAD-7,14,0.1167,0.0265,0.0183,0.063,True
run2_lightweight,GAD-7,15,0.0161,0.0329,0.0292,0.0912,False
run2_lightweight,GAD-7,16,0.0398,0.0318,0.0285,0.0888,False
run2_lightweight,GAD-7,17,0.0177,0.0323,0.0276,0.0876,False
run2_lightweight,GAD-7,18,0.0893,0.0314,0.027,0.0855,True
run2_lightweight,GAD-7,19,0.0933,0.0347,0.0294,0.0935,False
run2_lightweight,CompACT-10,1,0.0,,,,False
run2_lightweight,CompACT-10,2,0.178,0.0,,,False
run2_lightweight,CompACT-10,3,0.1242,0.089,0.089,0.267,False
run2_lightweight,CompACT-10,4,0.1712,0.1007,0.0745,0.2498,False
run2_lightweight,CompACT-10,5,0.0358,0.1184,0.0714,0.2612,False
run2_lightweight,CompACT-10,6,0.066,0.1019,0.0719,0.2457,False
run2_lightweight,CompACT-10,7,0.176,0.0959,0.067,0.2298,False
run2_lightweight,CompACT-10,8,0.1361,0.1073,0.0681,0.2435,False
run2_lightweight,CompACT-10,9,0.0991,0.1109,0.0644,0.2397,False
run2_lightweight,CompACT-10,10,0.0681,0.1096,0.0608,0.2312,False
run2_lightweight,CompACT-10,11,0.0391,0.1055,0.059,0.2235,False
run2_lightweight,CompACT-10,12,0.1227,0.0994,0.0594,0.2183,False
run2_lightweight,CompACT-10,13,0.1215,0.1014,0.0572,0.2159,False
run2_lightweight,CompACT-10,14,0.0839,0.1029,0.0553,0.2134,False
run2_lightweight,CompACT-10,15,0.0563,0.1016,0.0535,0.2085,False
run2_lightweight,CompACT-10,16,0.0563,0.0985,0.0529,0.2043,False
run2_lightweight,CompACT-10,17,0.2696,0.0959,0.0522,0.2003,True
run2_lightweight,CompACT-10,18,0.1215,0.1061,0.0651,0.2363,False
run2_lightweight,CompACT-10,19,0.0269,0.107,0.0633,0.2337,False
